instant,country,v
2017-1,Espanha,0.215256
2017-1,França,0.169903
2017-1,Reino Unido,0.122126
2017-1,Alemanha,0.0702084
2017-1,Países Baixos,0.0412248
2017-1,Itália,0.03616
2017-1,Estados Unidos,0.0347953
2017-1,Coreia do Sul,0.0331183
2017-1,Brasil,0.0275171
2017-1,Polónia,0.0259963
2017-1,Bélgica,0.0231312
2017-2,Espanha,0.10341
2017-2,Reino Unido,0.15273
2017-2,França,0.149793
2017-2,Alemanha,0.0801607
2017-2,Países Baixos,0.0482166
2017-2,Estados Unidos,0.0420365
2017-2,Coreia do Sul,0.0414132
2017-2,Itália,0.029361
2017-2,Polónia,0.0271007
2017-2,Brasil,0.0270106
2017-2,Bélgica,0.0228505
2017-2,Russia,0.0228054
